PROGENY,FLOWERS_TO_POLLINATE_REQUIRED,PARENT1,P1L1FC,P1L1,P1L2FC,P1L2,P1L3FC,P1L3,P1L4FC,P1L4,PARENT2,P2L1FC,P2L1,P2L2FC,P2L2,P2L3FC,P2L3,P2L4FC,P2L4,RECIPROCAL_DONE,NEW_LABELS
2026-999,87,16-058.404,,,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-998,87,16-058.404,,,,,,,,,DSA25,,,,,,,,,FALSE,FALSE
2026-997,87,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,DSA25,,,,,,,,,FALSE,FALSE
2026-996,87,17-037.103,Terraza 2,B06,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-995,87,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-994,87,T075.103,,,,,,,,,DSA25,,,,,,,,,FALSE,FALSE
2026-993,87,16-058.403,,,,,,,,,18-250.402,,,,,,,,,FALSE,FALSE
2026-992,87,18-250.402,,,,,,,,,16-094.404,,,,,,,,,FALSE,FALSE
2026-991,87,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,16-094.404,,,,,,,,,FALSE,FALSE
2026-990,87,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,16-343.502,,,,,,,,,FALSE,FALSE
2026-989,457,20-374.401,,,,,,,,,18-183.101,,,,,,,,,FALSE,FALSE
2026-988,457,22-612.401,,,,,,,,,18-183.101,,,,,,,,,FALSE,FALSE
2026-987,457,19-060.101,,,,,,,,,18-183.101,,,,,,,,,FALSE,FALSE
2026-986,457,20-410.401,,,,,,,,,18-183.101,,,,,,,,,FALSE,FALSE
2026-985,457,21-437.403,,,,,,,,,19-060.101,,,,,,,,,FALSE,FALSE
2026-984,457,18-183.101,,,,,,,,,18-250.402,,,,,,,,,FALSE,FALSE
2026-983,457,18-183.101,,,,,,,,,16-091.403,,,,,,,,,FALSE,FALSE
2026-982,457,_45K308,,,,,,,,,20-374.401,,,,,,,,,FALSE,FALSE
2026-981,457,20-374.401,,,,,,,,,18-127.101,,,,,,,,,FALSE,FALSE
2026-980,457,20-408.402,,,,,,,,,21-437.403,,,,,,,,,FALSE,FALSE
2026-979,275,16-007.401,,,,,,,,,20-410.401,,,,,,,,,FALSE,FALSE
2026-978,275,20-194.102,,,,,,,,,16-007.401,,,,,,,,,FALSE,FALSE
2026-977,275,23M015.001,,,,,,,,,22-612.401,,,,,,,,,FALSE,FALSE
2026-976,275,23M045.001,,,,,,,,,20-384.402,,,,,,,,,FALSE,FALSE
2026-975,686,20-384.402,,,,,,,,,21-416.499,,,,,,,,,FALSE,FALSE
2026-974,457,21-029.401,,,,,,,,,22-615.404,,,,,,,,,FALSE,FALSE
2026-973,457,P192.104,,,,,,,,,17-016.102,,,,,,,,,FALSE,FALSE
2026-972,275,19-089.401,,,,,,,,,21-161.108,,,,,,,,,FALSE,FALSE
2026-971,457,18-262.401,,,,,,,,,19-081.105,,,,,,,,,FALSE,FALSE
2026-970,457,21-440.401,,,,,,,,,16-346.501,,,,,,,,,FALSE,FALSE
2026-969,457,18-234.401,,,,,,,,,21-440.401,,,,,,,,,FALSE,FALSE
2026-968,457,P192.104,,,,,,,,,18-137.402,,,,,,,,,FALSE,FALSE
2026-967,457,21-389.499,,,,,,,,,18-234.401,,,,,,,,,FALSE,FALSE
2026-966,457,22-630.405,,,,,,,,,22-612.401,,,,,,,,,FALSE,FALSE
2026-965,686,22-597.405,,,,,,,,,19-060.101,,,,,,,,,FALSE,FALSE
2026-964,275,23M024.001,,,,,,,,,18-183.101,,,,,,,,,FALSE,FALSE
2026-963,686,21-440.401,,,,,,,,,16-136.403,,,,,,,,,FALSE,FALSE
2026-962,457,22-623.401,,,,,,,,,16-136.403,,,,,,,,,FALSE,FALSE
2026-961,275,16-136.403,,,,,,,,,23M024.002,,,,,,,,,FALSE,FALSE
2026-960,686,20-384.402,,,,,,,,,16-091.403,,,,,,,,,FALSE,FALSE
2026-959,457,R075.103,,,,,,,,,21-440.401,,,,,,,,,FALSE,FALSE
